name,id,data
80002,80002,
80003,80003,
80004,80004,
80005,80005,
80007,80007,
80010,80010,
80011,80011,
80012,80012,
80013,80013,
80014,80014,
80015,80015,
80016,80016,
80017,80017,
80018,80018,
80019,80019,
80020,80020,
80021,80021,
80022,80022,
80023,80023,
80025,80025,
80026,80026,
80027,80027,
80030,80030,
80031,80031,
80033,80033,
80045,80045,
80101,80101,
80102,80102,
80103,80103,
80104,80104,
80105,80105,
80106,80106,
80107,80107,
80108,80108,
80109,80109,
80110,80110,
80111,80111,
80112,80112,
80113,80113,
80116,80116,
80117,80117,
80118,80118,
80120,80120,
80121,80121,
80122,80122,
80123,80123,
80124,80124,
80125,80125,
80126,80126,
80127,80127,
80128,80128,
80129,80129,
80130,80130,
80131,80131,
80132,80132,
80133,80133,
80134,80134,
80135,80135,
80136,80136,
80137,80137,
80138,80138,
80202,80202,
80203,80203,
80204,80204,
80205,80205,
80206,80206,
80207,80207,
80209,80209,
80210,80210,
80211,80211,
80212,80212,
80214,80214,
80215,80215,
80216,80216,
80218,80218,
80219,80219,
80220,80220,
80221,80221,
80222,80222,
80223,80223,
80224,80224,
80226,80226,
80227,80227,
80228,80228,
80229,80229,
80230,80230,
80231,80231,
80232,80232,
80233,80233,
80234,80234,
80235,80235,
80236,80236,
80237,80237,
80238,80238,
80239,80239,
80241,80241,
80246,80246,
80247,80247,
80249,80249,
80260,80260,
80301,80301,
80302,80302,
80303,80303,
80304,80304,
80305,80305,
80310,80310,
80401,80401,
80403,80403,
80420,80420,
80421,80421,
80422,80422,
80423,80423,
80424,80424,
80425,80425,
80426,80426,
80427,80427,
80428,80428,
80432,80432,
80433,80433,
80434,80434,
80435,80435,
80436,80436,
80438,80438,
80439,80439,
80440,80440,
80442,80442,
80443,80443,
80444,80444,
80446,80446,
80447,80447,
80448,80448,
80449,80449,
80451,80451,
80452,80452,
80453,80453,
80454,80454,
80455,80455,
80456,80456,
80457,80457,
80459,80459,
80461,80461,
80463,80463,
80465,80465,
80466,80466,
80467,80467,
80468,80468,
80469,80469,
80470,80470,
80471,80471,
80473,80473,
80475,80475,
80476,80476,
80478,80478,
80479,80479,
80480,80480,
80481,80481,
80482,80482,
80483,80483,
80487,80487,
80497,80497,
80498,80498,
80501,80501,
80503,80503,
80504,80504,
80510,80510,
80511,80511,
80512,80512,
80513,80513,
80514,80514,
80515,80515,
80516,80516,
80517,80517,
80520,80520,
80521,80521,
80524,80524,
80525,80525,
80526,80526,
80528,80528,
80530,80530,
80532,80532,
80534,80534,
80535,80535,
80536,80536,
80537,80537,
80538,80538,
80540,80540,
80542,80542,
80543,80543,
80545,80545,
80547,80547,
80549,80549,
80550,80550,
80601,80601,
80602,80602,
80603,80603,
80610,80610,
80611,80611,
80612,80612,
80615,80615,
80620,80620,
80621,80621,
80622,80622,
80623,80623,
80624,80624,
80631,80631,
80634,80634,
80640,80640,
80642,80642,
80643,80643,
80644,80644,
80645,80645,
80648,80648,
80649,80649,
80650,80650,
80651,80651,
80652,80652,
80653,80653,
80654,80654,
80701,80701,
80705,80705,
80720,80720,
80721,80721,
80722,80722,
80723,80723,
80726,80726,
80727,80727,
80728,80728,
80729,80729,
80731,80731,
80733,80733,
80734,80734,
80735,80735,
80736,80736,
80737,80737,
80740,80740,
80741,80741,
80742,80742,
80743,80743,
80744,80744,
80745,80745,
80746,80746,
80747,80747,
80749,80749,
80750,80750,
80751,80751,
80754,80754,
80755,80755,
80757,80757,
80758,80758,
80759,80759,
80801,80801,
80802,80802,
80804,80804,
80805,80805,
80807,80807,
80808,80808,
80809,80809,
80810,80810,
80812,80812,
80813,80813,
80814,80814,
80815,80815,
80816,80816,
80817,80817,
80818,80818,
80819,80819,
80820,80820,
80821,80821,
80822,80822,
80823,80823,
80824,80824,
80825,80825,
80827,80827,
80828,80828,
80829,80829,
80830,80830,
80831,80831,
80832,80832,
80833,80833,
80834,80834,
80835,80835,
80836,80836,
80840,80840,
80860,80860,
80861,80861,
80862,80862,
80863,80863,
80864,80864,
80902,80902,
80903,80903,
80904,80904,
80905,80905,
80906,80906,
80907,80907,
80908,80908,
80909,80909,
80910,80910,
80911,80911,
80913,80913,
80914,80914,
80915,80915,
80916,80916,
80917,80917,
80918,80918,
80919,80919,
80920,80920,
80921,80921,
80922,80922,
80923,80923,
80924,80924,
80925,80925,
80926,80926,
80927,80927,
80928,80928,
80929,80929,
80930,80930,
80938,80938,
80939,80939,
80951,80951,
81001,81001,
81003,81003,
81004,81004,
81005,81005,
81006,81006,
81007,81007,
81008,81008,
81019,81019,
81020,81020,
81021,81021,
81022,81022,
81023,81023,
81024,81024,
81025,81025,
81027,81027,
81029,81029,
81030,81030,
81033,81033,
81036,81036,
81038,81038,
81039,81039,
81040,81040,
81041,81041,
81043,81043,
81044,81044,
81045,81045,
81047,81047,
81049,81049,
81050,81050,
81052,81052,
81054,81054,
81055,81055,
81057,81057,
81058,81058,
81059,81059,
81062,81062,
81063,81063,
81064,81064,
81067,81067,
81069,81069,
81071,81071,
81073,81073,
81076,81076,
81077,81077,
81081,81081,
81082,81082,
81084,81084,
81087,81087,
81089,81089,
81090,81090,
81091,81091,
81092,81092,
81101,81101,
81120,81120,
81121,81121,
81122,81122,
81123,81123,
81124,81124,
81125,81125,
81126,81126,
81128,81128,
81129,81129,
81130,81130,
81131,81131,
81132,81132,
81133,81133,
81136,81136,
81137,81137,
81138,81138,
81140,81140,
81141,81141,
81143,81143,
81144,81144,
81146,81146,
81147,81147,
81148,81148,
81149,81149,
81151,81151,
81152,81152,
81154,81154,
81155,81155,
81201,81201,
81210,81210,
81211,81211,
81212,81212,
81220,81220,
81221,81221,
81222,81222,
81223,81223,
81224,81224,
81225,81225,
81226,81226,
81227,81227,
81230,81230,
81232,81232,
81233,81233,
81235,81235,
81236,81236,
81237,81237,
81239,81239,
81240,81240,
81241,81241,
81242,81242,
81243,81243,
81244,81244,
81248,81248,
81251,81251,
81252,81252,
81253,81253,
81301,81301,
81303,81303,
81320,81320,
81321,81321,
81323,81323,
81324,81324,
81325,81325,
81326,81326,
81327,81327,
81328,81328,
81330,81330,
81331,81331,
81332,81332,
81334,81334,
81335,81335,
81401,81401,
81403,81403,
81410,81410,
81411,81411,
81413,81413,
81415,81415,
81416,81416,
81418,81418,
81419,81419,
81422,81422,
81423,81423,
81424,81424,
81425,81425,
81426,81426,
81427,81427,
81428,81428,
81429,81429,
81430,81430,
81431,81431,
81432,81432,
81433,81433,
81434,81434,
81435,81435,
81501,81501,
81503,81503,
81504,81504,
81505,81505,
81506,81506,
81507,81507,
81520,81520,
81521,81521,
81522,81522,
81523,81523,
81524,81524,
81525,81525,
81526,81526,
81527,81527,
81601,81601,
81610,81610,
81611,81611,
81612,81612,
81615,81615,
81620,81620,
81621,81621,
81623,81623,
81624,81624,
81625,81625,
81630,81630,
81631,81631,
81632,81632,
81633,81633,
81635,81635,
81637,81637,
81638,81638,
81639,81639,
81640,81640,
81641,81641,
81642,81642,
81643,81643,
81645,81645,
81646,81646,
81647,81647,
81648,81648,
81649,81649,
81650,81650,
81652,81652,
81653,81653,
81654,81654,
81655,81655,
81656,81656,
81657,81657,
CO,CO,
