ZIP Code,"Land Value
(1/4 Acre Lot, Standardized)","Land Value
(Per Acre, As-Is)",Land Share of Property Value,Lot Size,Interior Square Feet,Property Value (Standardized),Property Value (As-is)
55307,21300,71100,0.169,14120,1510,146700,136300
55308,25700,69400,0.172,18040,1050,221000,167600
55309,30100,76900,0.206,19810,1000,228400,169600
55310,9600,37300,0.108,11540,1530,118500,91700
55311,86500,289400,0.308,14120,1600,331300,304900
55312,22200,62200,0.201,18790,1480,143600,133800
55313,47600,116500,0.262,23180,1390,254300,236900
55314,24800,72200,0.215,17980,1600,123300,138900
55315,61000,151200,0.246,20570,1880,266300,289700
55316,63100,218100,0.325,13360,1100,307100,205700
55317,99400,282900,0.309,17600,1760,357800,369500
55318,77200,229800,0.277,16000,1730,306900,305000
55319,53400,115400,0.338,24950,1010,259800,195800
55320,25200,57300,0.192,30340,1300,200000,191500
55321,24500,49500,0.23,32350,1350,170100,159400
55322,47200,108200,0.263,24330,1410,238400,229500
55324,48200,97200,0.274,31760,1590,215600,258700
55325,38600,84900,0.252,27620,1540,193700,213600
55327,49800,120300,0.305,24110,1200,264300,218300
55328,39500,91600,0.199,23860,1610,246600,252500
55329,23600,50900,0.214,30530,1360,161900,158100
55330,39900,95600,0.234,20810,1220,236100,195000
55331,185200,421300,0.502,25830,1660,484200,496200
55334,16700,62100,0.165,12300,1390,124100,106100
55336,28400,95000,0.198,13310,1440,168500,146700
55337,57200,199600,0.268,12440,1220,283500,213000
55338,20000,66900,0.169,14190,1230,141000,129400
55340,100100,193100,0.327,30940,1950,333000,419200
55341,38200,102300,0.182,20710,1640,246900,257100
55342,11500,42100,0.145,12610,1360,103600,84200
55343,113700,428000,0.47,11070,1140,361700,231700
55344,114700,357100,0.43,15530,1320,376200,296100
55345,109600,283100,0.503,22330,1290,362700,288200
55346,100600,311300,0.434,16200,1240,361100,267100
55347,118800,384900,0.384,14610,1590,375500,336600
55349,25600,56100,0.211,29770,1330,192000,181600
55350,31700,88900,0.201,17060,1450,176300,172100
55352,46100,135300,0.225,17320,1470,248800,239300
55353,33800,72700,0.257,30410,1320,200400,195700
55354,23700,67600,0.166,17080,1390,161000,160000
55355,29200,83200,0.224,17650,1360,167500,150400
55356,121700,279100,0.443,27200,1470,401600,393300
55357,53400,110400,0.356,32190,1200,284700,229500
55358,50600,110600,0.296,27770,1230,268900,238300
55359,71300,175200,0.394,24090,1200,315500,245700
55360,33700,89600,0.18,18890,1420,226800,215800
55362,37000,86800,0.21,23560,1420,235900,223500
55363,24200,62500,0.166,20830,1230,205200,180400
55364,126200,378200,0.448,17410,1330,402100,337400
55368,32500,87100,0.233,18850,1270,199400,161800
55369,72200,265600,0.33,11320,1080,326200,209100
55371,28400,53800,0.202,28110,1180,193200,165400
55372,93200,284600,0.286,15630,1780,340300,357200
55373,41800,133800,0.233,14460,1280,250100,196200
55374,43200,102300,0.236,23920,1410,264000,238000
55375,40300,116300,0.219,18930,1400,261300,230500
55376,45700,115300,0.216,20970,1720,250300,256900
55378,73800,251100,0.251,12740,1690,304200,292300
55379,68400,250700,0.263,10850,1450,280000,237500
55381,26000,56100,0.223,24120,1380,143800,139200
55382,71400,131500,0.352,35620,1300,287900,285200
55386,91000,270700,0.254,16330,2300,325100,400200
55387,65400,189400,0.249,16770,1700,291600,292900
55388,37800,100600,0.201,19140,1450,233000,219400
55389,24600,63200,0.215,20470,1350,155900,138000
55390,29200,68600,0.196,25010,1340,206100,200800
55391,202600,475300,0.523,25580,1680,503600,533200
55395,25000,75600,0.173,15030,1380,169900,150700
55396,14900,48600,0.161,14980,1480,114100,103700
55397,31600,82700,0.197,18930,1300,215800,182900
55398,30500,74600,0.214,20390,980,216300,162100
55403,300800,1115100,0.455,10380,2040,650300,583400
55404,57700,224600,0.269,9620,1300,286200,184200
55405,191400,1013600,0.438,6760,1450,488500,359100
55406,94400,535800,0.349,5760,1000,386800,203000
55407,69500,399600,0.276,5520,1090,340900,183500
55408,142300,752500,0.381,6250,1330,441200,283300
55409,121200,662300,0.378,6080,1150,419600,244300
55410,275400,1391800,0.553,7020,1300,587500,405500
55411,20600,107200,0.135,6580,1120,207300,119500
55412,25800,144400,0.162,5840,950,237400,119300
55413,76700,389100,0.296,6860,1150,347800,207200
55414,93700,483200,0.338,6640,1160,374200,217800
55416,195500,830200,0.521,9390,1250,497700,343800
55417,103600,568500,0.355,6090,1030,411300,223800
55418,80100,412400,0.339,6930,1040,349900,193100
55419,179900,930300,0.468,6850,1220,495400,312300
55420,76200,274800,0.462,12840,910,310700,175500
55421,62100,274200,0.27,8580,1270,281300,200300
55422,77200,314500,0.377,10570,1070,323200,202600
55423,82800,364800,0.41,9020,950,337700,184200
55424,395400,1522300,0.607,11130,1770,669200,640900
55425,69300,226000,0.449,14770,930,297800,170800
55426,110000,473000,0.423,8990,1020,399700,230800
55427,72200,274600,0.37,11750,1050,324300,200200
55428,54100,207300,0.331,11310,940,287700,162500
55429,48500,198300,0.317,10150,910,270300,145700
55430,39300,174700,0.257,8730,920,256400,136300
55431,87500,294200,0.479,14250,980,335700,200700
55432,50600,179600,0.258,12330,1250,260300,197000
55433,47900,162100,0.254,13270,1240,253300,194400
55434,55400,202100,0.267,11990,1300,262400,208500
55435,200900,702300,0.543,13520,1420,514600,401200
55436,236200,722200,0.56,17060,1620,536400,505100
55437,93400,312300,0.458,14030,1050,351900,219800
55438,103500,361600,0.464,13190,1120,359200,236100
55439,209400,646200,0.547,16610,1600,503800,450400
55441,96300,278300,0.429,17850,1280,347300,266100
55442,86200,260300,0.37,16720,1360,341500,270500
55443,59000,220300,0.292,11460,1240,276400,198200
55444,55300,186800,0.353,14000,950,285800,170200
55445,59700,223200,0.288,11480,1170,287200,204700
55446,110500,378400,0.319,12740,1760,345000,346900
55447,98700,280100,0.426,18720,1320,358800,282600
55448,50900,176900,0.238,12740,1390,262700,216900
55449,77300,258900,0.233,13450,2090,293500,342600
55705,13800,31100,0.189,36090,1250,143700,136200
55706,14400,38200,0.2,28470,1230,143200,124800
55707,24200,47400,0.215,40440,1500,188400,204900
55708,10100,35200,0.121,16940,1190,138600,113300
55709,19800,46000,0.237,42640,1360,165400,190300
55710,22200,41100,0.211,46460,1310,202000,207900
55718,25400,52700,0.24,35860,1320,187400,180800
55719,10100,37200,0.124,14730,1310,135200,101100
55720,20800,60400,0.157,17580,1280,190400,155400
55721,45900,97200,0.374,47900,1550,215400,286100
55722,17900,55500,0.131,18200,1480,178100,176900
55723,65400,125200,0.435,46180,1260,283400,305400
55724,38400,68000,0.348,50800,1260,197000,227700
55726,34200,64800,0.316,37480,1180,185200,176700
55731,46600,122800,0.445,31200,1360,216400,197700
55733,20000,36700,0.16,43870,1470,198500,230900
55734,19900,50400,0.207,28130,1300,175900,157400
55735,47400,77000,0.369,37280,1300,173400,177800
55741,22600,57600,0.275,30770,1250,172500,148200
55744,34200,90400,0.292,29690,1410,201700,211100
55746,16500,39400,0.169,23590,1300,152200,126500
55750,7100,22900,0.081,14420,1160,132400,93900
55760,112500,192300,0.49,30500,1350,274600,274900
55767,26500,55100,0.181,26370,1300,196300,184900
55768,14000,31500,0.122,28550,1310,176200,168900
55769,18600,53300,0.223,28020,1450,150900,153500
55775,30700,70600,0.31,39020,1430,171500,204000
55779,41500,72900,0.35,48980,1320,207000,234400
55781,64800,119400,0.514,46760,1430,231900,250600
55783,33600,52900,0.262,43300,1310,179600,200900
55790,75400,144000,0.435,44860,1370,305200,340800
55792,13600,43200,0.109,12690,1360,159200,115200
55795,17300,28300,0.172,42390,1290,142000,160400
55802,136800,561500,0.338,10280,1920,413700,392600
55803,38300,85100,0.236,28620,1450,251500,237300
55804,44500,134700,0.208,16120,1500,273300,239800
55805,39200,205800,0.209,6130,1240,230800,138500
55806,34700,167500,0.201,7300,1340,206400,139800
55807,24600,124800,0.142,6480,1230,215400,130400
55808,22300,77500,0.159,12080,1240,199400,135500
55810,29000,62100,0.223,29460,1260,214300,188400
55811,35900,75500,0.223,32860,1450,239800,255900
55812,44800,188700,0.16,9330,1970,286300,252400
55901,41100,172900,0.253,9460,900,257400,148700
55902,49000,153600,0.244,15110,1200,283800,218500
55904,32200,109100,0.257,12670,820,222800,123300
55906,40000,145600,0.241,11990,1060,249800,166500
55912,24600,79800,0.184,14160,1430,184900,141100
55917,20400,70700,0.17,13680,1440,155100,130600
55919,45200,94600,0.202,22590,1740,200700,242800
55920,39000,129900,0.221,13470,1050,248100,182100
55921,22800,56100,0.169,19320,1540,160400,146900
55923,29500,91300,0.253,14900,980,199300,131900
55927,24000,78500,0.172,14640,1340,171300,153600
55929,26700,87900,0.207,14300,910,204900,139000
55932,26100,74200,0.195,17440,1400,176900,152200
55934,27300,89700,0.241,13910,870,204300,119000
55936,21600,56300,0.186,20050,1460,164100,139200
55939,20300,53100,0.179,17830,1570,127400,121200
55940,20700,56000,0.171,18340,1380,150700,138000
55944,33300,129900,0.182,10920,1290,201900,178800
55946,19100,46200,0.161,21450,1370,161400,141300
55947,52600,119200,0.249,22580,1630,228600,241800
55955,27400,59000,0.183,31800,1610,198900,235400
55956,27900,69300,0.196,21730,1420,185800,176900
55959,36900,75600,0.235,25030,1310,196600,184700
55960,39900,77800,0.251,33030,1270,235900,235400
55963,29800,85000,0.175,17040,1250,215400,190100
55964,30800,105800,0.202,13090,1400,193800,157200
55965,21900,54200,0.199,19640,1460,137100,122600
55967,26300,79100,0.146,16280,1530,186100,202300
55971,22600,64400,0.166,16360,1560,152700,145900
55972,33200,91100,0.205,17050,1340,189100,173900
55975,22400,62200,0.183,16850,1520,149100,131400
55976,38600,142300,0.292,11750,870,229900,131600
55981,52100,143500,0.343,17760,1430,196400,170700
55987,34700,126300,0.218,11660,1310,203100,155200
55992,33000,82100,0.191,20550,1370,206800,203000
56001,39500,128500,0.234,14040,1220,215200,176800
56003,44000,157400,0.211,12850,1560,227500,219800
56007,23000,79000,0.194,13890,1440,170600,130100
56011,32400,112200,0.171,13210,1340,224300,198800
56017,56700,110300,0.257,29510,1590,251600,290200
56021,19800,51500,0.16,26690,1420,164100,197400
56024,37900,133800,0.197,13190,1160,223400,205800
56028,61300,125300,0.241,25020,1640,263400,298200
56035,14700,41800,0.147,21590,1500,158300,140900
56044,18500,51700,0.147,19960,1530,139800,161600
56048,28000,85200,0.199,16440,1400,171200,161900
56050,52400,83200,0.28,35570,1560,218400,242500
56055,29000,94000,0.242,15800,1160,172700,140700
56057,22000,56100,0.153,19600,1450,174700,165500
56058,26900,83100,0.19,14800,1470,175000,148500
56063,52500,123500,0.295,28100,1360,245500,271200
56069,19400,56200,0.132,16380,1410,175100,159800
56071,44100,137900,0.21,15870,1510,239700,236200
56073,35900,135200,0.234,12120,1490,182800,151300
56074,27400,100500,0.174,12220,1510,181600,161800
56082,36400,127100,0.198,14120,1520,207000,191100
56093,29500,81100,0.215,17870,1430,168900,154800
56096,43000,102200,0.265,21920,1410,206000,194400
56101,19600,52800,0.137,15910,1460,175200,141300
56110,16100,50500,0.113,14960,1510,186300,153900
56131,13300,37500,0.13,18090,1510,132600,120200
56143,16100,44400,0.117,15670,1460,162200,136800
56150,12000,33300,0.097,15450,1550,148000,121300
56157,28300,54400,0.157,34200,1950,167100,272000
56159,7500,22500,0.096,20650,1540,140800,110800
56172,37900,109700,0.278,18700,1570,159200,169600
56175,19900,54200,0.156,14720,1570,131200,116400
56187,28600,105600,0.161,11940,1450,241000,179600
56201,29700,86800,0.18,16710,1520,205200,184800
56209,42100,110700,0.256,18630,1430,221200,184700
56222,10100,34900,0.097,13710,1460,140600,113200
56229,21900,60300,0.16,18590,1570,169000,160700
56239,21300,68300,0.16,14120,1290,168300,137900
56241,14800,43600,0.125,18730,1510,155200,149700
56251,17300,48000,0.167,21170,1290,183600,139600
56253,78100,171100,0.392,22620,1680,232500,226500
56258,31800,107900,0.181,13320,1530,213600,182600
56264,15000,53100,0.127,13010,1530,155400,124900
56265,10800,31900,0.11,17210,1470,156700,114900
56267,12400,38300,0.09,16350,1490,191400,159400
56273,54500,101000,0.296,29200,1480,239200,228500
56277,14200,49900,0.132,13730,1540,134900,119300
56279,35000,78800,0.264,24770,1340,191300,169800
56282,8100,25400,0.073,15110,1350,157900,120400
56283,16900,58700,0.14,13910,1540,147500,133600
56288,104700,179500,0.341,30540,1740,323700,369100
56289,85700,140000,0.559,40770,1750,198700,234200
56293,8100,29000,0.079,13700,1630,109700,115100
56301,32300,82300,0.193,21060,1530,207000,206300
56303,30000,109400,0.192,11960,1350,190100,156400
56304,35300,81600,0.246,24110,1290,215600,184100
56307,23600,53100,0.165,24210,1380,179200,178500
56308,59500,127100,0.314,26470,1380,261100,246300
56309,29600,91200,0.344,28780,1540,144900,175200
56310,35100,71400,0.243,30350,1360,206800,204900
56312,8500,17700,0.117,30880,1360,115900,107600
56315,67100,119700,0.472,36300,1280,236900,211500
56316,10600,24200,0.121,24790,1390,123400,114000
56318,73000,114800,0.466,38320,1480,195700,216800
56319,53500,119800,0.302,24460,1320,238300,222700
56320,45600,105500,0.259,25910,1450,235700,242300
56324,32400,80400,0.274,26000,1460,164400,175100
56326,42100,86600,0.367,30630,1250,184000,166000
56327,73800,104100,0.43,50520,1400,250900,280700
56329,17200,32100,0.155,34160,1450,167800,162100
56331,22500,48600,0.197,28850,1390,166500,163500
56332,43900,73100,0.301,38540,1250,217300,215100
56334,68000,148400,0.37,24270,1460,220800,223900
56336,78700,151900,0.389,31400,1470,249100,277000
56338,98900,184900,0.535,32150,1340,259200,250500
56339,37700,80200,0.256,24220,1320,172700,164800
56340,19500,39500,0.191,31430,1330,151400,149000
56342,88100,155000,0.425,27980,1400,247300,230600
56343,26500,51000,0.303,35090,1230,161100,135600
56345,19800,49200,0.176,22340,1400,149900,143700
56347,22300,56000,0.222,20690,1360,136800,119600
56349,23300,63300,0.211,23850,1500,141800,163900
56352,31700,78300,0.244,23530,1470,183200,173200
56353,20200,47300,0.163,19100,1310,152400,126900
56354,98300,201100,0.474,28010,1340,290300,272800
56359,81500,163100,0.438,22090,1450,205200,188700
56360,44700,99600,0.319,25760,1270,202000,173300
56361,31300,56600,0.231,32070,1360,170700,164700
56362,40700,92000,0.287,27120,1450,199900,199100
56364,27100,62000,0.236,26480,1520,153700,159600
56367,28600,58000,0.195,32550,1440,206300,220500
56368,44600,87700,0.293,33330,1340,227800,229000
56373,23000,52200,0.18,27310,1390,167200,169400
56374,34800,85600,0.227,22680,1280,211700,196700
56375,20900,40600,0.198,35150,1180,181600,165300
56377,38500,109300,0.192,18580,1560,225500,243200
56378,27900,59800,0.202,26200,1440,178100,177200
56379,27600,69900,0.174,21280,1440,206500,196600
56381,62300,157200,0.399,22120,1540,193300,200200
56385,53700,106800,0.375,28980,1340,194900,189600
56386,101300,161800,0.437,29020,1540,259100,246900
56387,28200,90900,0.198,13930,1270,187800,147100
56401,64500,113200,0.368,31960,1400,233600,223800
56425,31500,57300,0.203,31800,1390,210700,205700
56431,87700,133000,0.446,37180,1390,240600,254500
56433,66600,87200,0.414,46150,1390,223200,225500
56435,95200,105500,0.476,43400,1360,252900,220900
56438,22100,45300,0.231,27690,1340,130300,124500
56441,29400,92200,0.275,16310,1260,164100,125500
56442,171000,287500,0.496,34240,1580,411300,456000
56443,111200,200600,0.488,33010,1550,272100,310900
56444,112300,158400,0.503,44100,1540,298000,318500
56447,81200,113700,0.47,45820,1420,234300,254700
56448,113000,172300,0.559,40410,1330,301800,286200
56449,51900,74700,0.405,42420,1400,193700,179500
56450,86900,150100,0.503,33330,1320,244200,226200
56452,160700,186000,0.556,41470,1420,346200,318400
56455,23900,65000,0.243,18710,1260,149300,115000
56461,105700,146900,0.629,53020,1580,235300,284200
56464,27400,54400,0.28,33950,1290,155900,151800
56465,126300,169800,0.545,48600,1440,320100,347800
56466,60100,130600,0.4,26120,1210,200500,195600
56467,79100,128300,0.471,41560,1470,234400,259900
56468,137800,203600,0.465,37850,1560,352100,377300
56469,87400,116800,0.49,42540,1240,218500,233000
56470,68200,121700,0.401,34050,1510,219100,237000
56472,81200,135400,0.388,35820,1420,273200,286700
56473,69600,77500,0.329,44760,1450,245200,237500
56474,153400,205600,0.532,41660,1490,315300,357700
56475,16700,31100,0.202,33590,1280,114300,118900
56479,13800,35200,0.153,22220,1430,123300,116900
56482,14500,37100,0.142,22710,1420,147400,128200
56484,122600,164400,0.413,35180,1710,298700,321300
56501,102600,205000,0.346,23890,1660,301000,317600
56511,150400,211900,0.407,34550,1740,352500,412800
56514,16000,49600,0.101,16100,1450,196200,182100
56515,103500,199900,0.454,32900,1520,298100,333000
56520,11200,40900,0.079,13220,1510,176100,156600
56524,147400,250000,0.588,37810,1480,323100,369300
56528,100800,182200,0.46,35750,1550,273800,324800
56529,31300,122500,0.134,10830,1480,239600,228000
56531,10000,35900,0.131,19480,1540,109500,122900
56535,72200,130400,0.354,38420,1750,233700,324600
56537,26700,62700,0.194,25150,1490,183400,186900
56540,9600,20800,0.086,25110,1480,138900,139800
56542,8800,24300,0.086,20640,1430,136300,133700
56544,80400,131400,0.381,36800,1520,252000,290200
56547,23000,61400,0.142,20790,1410,219000,207200
56549,23000,59800,0.151,22720,1510,203100,206500
56551,50000,108900,0.375,28130,1430,186300,187800
56554,127200,207500,0.386,29050,1670,342000,359000
56560,38800,147600,0.176,11070,1390,244400,213000
56567,17400,36400,0.184,29810,1340,141600,135200
56570,126500,154700,0.566,40680,1320,277800,255200
56571,93800,179700,0.487,33220,1530,248300,281400
56572,124900,268500,0.476,26040,1580,306700,336600
56573,58400,130000,0.311,28420,1570,237200,272900
56576,125400,214400,0.501,38120,1680,306200,374800
56578,147500,167100,0.393,44350,1990,335900,432700
56579,5000,14600,0.058,19740,1420,124100,116300
56580,14600,42800,0.086,18830,1530,210600,216500
56586,64000,116400,0.396,37140,1430,222800,250500
56587,78800,138700,0.404,39330,1540,252700,309800
56588,90400,167400,0.597,35520,1410,210300,228500
56601,36000,44800,0.193,39910,1540,221300,212000
56623,22900,45900,0.189,32900,1440,155700,183600
56633,92400,134100,0.397,33960,1650,246000,261000
56636,49000,124000,0.559,40980,1410,177000,208700
56649,19900,85500,0.312,25260,1430,171400,159100
56655,158600,195800,0.539,38780,1490,338800,323400
56662,140300,174800,0.552,38370,1310,316100,279000
56672,135100,151400,0.55,43240,1330,305700,273100
56701,17100,50800,0.128,16580,1430,166100,150500
56713,8100,20500,0.066,18950,1750,128300,135600
56716,11400,38000,0.079,13990,1480,175100,153900
56721,23800,81200,0.111,13320,1450,239400,223600
56723,11300,33800,0.089,16750,1440,167400,146600
56736,108100,211800,0.41,31120,1570,330800,369200
56751,12500,25500,0.102,23670,1510,145100,136100
56757,7700,20500,0.072,17700,1600,119700,115200
56762,8900,23700,0.085,17480,1500,127300,112000
56763,17800,34500,0.134,25040,1600,146200,148400
57002,21500,68600,0.164,14620,1190,185900,140100
57003,26200,82500,0.185,16370,1000,248200,167300
57004,19700,73300,0.135,12560,1490,196300,155800
57005,35000,117900,0.207,14840,1070,280500,193700
57006,30900,96000,0.152,14900,1490,231200,215800
57013,17600,57700,0.127,16050,1500,200900,167100
57014,6700,20300,0.081,18650,1560,116500,107100
57016,54300,154900,0.225,15570,1540,208700,246400
57020,26100,84600,0.214,17560,1010,232600,159200
57022,31400,109100,0.234,14620,1080,232900,156400
57025,19800,70900,0.122,13330,1430,209400,177700
57030,21000,61800,0.229,20390,1030,189700,126500
57032,28800,87300,0.15,16930,1260,282700,226700
57033,32400,94000,0.239,20190,1060,252200,182100
57038,16900,43900,0.133,43700,1950,206500,331700
57039,17100,56400,0.134,17430,1440,202800,168900
57042,20400,55100,0.134,16500,1430,168700,155300
57049,42900,145800,0.157,14770,1900,265000,315300
57053,12700,40000,0.126,18530,1500,139300,134500
57055,21600,52200,0.246,38490,1060,222800,187600
57064,30800,91100,0.16,17940,1350,275500,235200
57068,20400,57000,0.229,24080,1010,197500,137600
57069,25900,66700,0.152,17650,1510,204800,177500
57070,12700,45200,0.13,14430,1320,129700,115000
57071,25500,80900,0.154,14920,1420,204200,180000
57075,59900,109700,0.173,25140,1670,283900,365700
57077,25400,94700,0.184,12080,1070,240300,142400
57078,24700,73700,0.134,15240,1460,223700,192500
57103,36500,151200,0.221,10080,990,274900,158700
57104,26400,103800,0.209,9500,920,221400,108400
57105,43800,179400,0.249,9590,1070,282300,158900
57106,37500,147400,0.198,10520,1010,287900,180200
57107,35800,114400,0.212,14550,990,265600,180600
57108,46700,167500,0.15,14120,1790,336300,363000
57110,41600,135400,0.214,15730,1150,290700,228400
57201,36600,121600,0.186,14290,1470,246300,214600
57212,38200,85200,0.133,19610,1700,226700,288500
